0
"'O', '=', 'C', '1', 'C', 'C', 'C', 'C', '2', '=', 'C', '1', 'C', '1', '(', 'C', 'C', 'S', '(', '=', 'O', ')', '(', '=', 'O', ')', 'C', '1', ')', 'N', '=', 'C', '(', 'N', 'c', '1', 'n', 'c', '3', 'c', 'c', 'c', 'c', 'c', '3', 'o', '1', ')', 'N', '2'"
"'C', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', '[', 'C', '@@', 'H', ']', '(', 'O', ')', 'C', 'N', '(', 'C', 'C', '1', 'C', 'C', 'C', 'C', 'C', '1', ')', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'N', 'C', '(', 'C', ')', '=', 'O', ')', 'C', '(', 'C', ')', 'C', ')', 'C', '(', 'C', ')', 'C'"
"'C', 'C', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', '[', 'C', '@@', 'H', ']', '(', 'O', ')', 'C', 'N', '(', 'C', 'C', '1', 'C', 'C', 'C', 'C', 'C', '1', ')', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'N', 'C', '(', '=', 'O', ')', 'O', 'C', 'C', ')', 'C', '(', 'C', ')', 'C', ')', 'C', '(', 'C', ')', 'C'"
"'C', 'O', 'C', 'C', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', '[', 'C', '@@', 'H', ']', '(', 'O', ')', 'C', 'N', '(', 'C', 'C', '1', 'C', 'C', 'C', 'C', 'C', '1', ')', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'N', 'C', '(', '=', 'O', ')', 'O', 'C', 'C', 'O', 'C', ')', 'C', '(', 'C', ')', 'C', ')', 'C', '(', 'C', ')', 'C'"
"'C', 'C', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'N', 'N', '(', 'C', 'C', '1', 'C', 'C', 'C', 'C', 'C', '1', ')', 'C', '[', 'C', '@', 'H', ']', '(', 'O', ')', '[', 'C', '@', 'H', ']', '(', 'C', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'N', 'C', '(', '=', 'O', ')', 'O', 'C', ')', 'C', '(', 'C', ')', 'C', ')', 'C', '(', 'C', ')', 'C'"
"'C', 'O', 'C', 'C', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'N', 'N', '(', 'C', 'C', '1', 'C', 'C', 'C', 'C', 'C', '1', ')', 'C', '[', 'C', '@', 'H', ']', '(', 'O', ')', '[', 'C', '@', 'H', ']', '(', 'C', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'N', 'C', '(', '=', 'O', ')', 'O', 'C', ')', 'C', '(', 'C', ')', 'C', ')', 'C', '(', 'C', ')', 'C'"
"'C', 'C', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', '[', 'C', '@@', 'H', ']', '(', 'O', ')', 'C', 'N', '(', 'C', 'C', '1', 'C', 'C', 'C', 'C', 'C', '1', ')', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'N', 'C', '(', '=', 'O', ')', 'O', 'C', ')', 'C', '(', 'C', ')', 'C', ')', 'C', '(', 'C', ')', 'C'"
"'C', 'C', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', '[', 'C', '@@', 'H', ']', '(', 'O', ')', 'C', 'N', '(', 'C', 'C', '1', 'C', 'C', 'C', 'C', 'C', '1', ')', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'N', 'C', '(', '=', 'O', ')', 'O', 'C', 'C', 'O', 'C', ')', 'C', '(', 'C', ')', 'C', ')', 'C', '(', 'C', ')', 'C'"
"'C', 'O', 'C', 'C', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', '[', 'C', '@@', 'H', ']', '(', 'O', ')', 'C', 'N', '(', 'C', 'C', '1', 'C', 'C', 'C', 'C', 'C', '1', ')', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'N', 'C', '(', '=', 'O', ')', 'O', 'C', ')', 'C', '(', 'C', ')', 'C', ')', 'C', '(', 'C', ')', 'C'"
"'C', 'C', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'N', 'N', '(', 'C', 'C', '1', 'C', 'C', 'C', 'C', 'C', '1', ')', 'C', '[', 'C', '@', 'H', ']', '(', 'O', ')', '[', 'C', '@', 'H', ']', '(', 'C', 'c', '1', 'c', 'c', 'c', 'c', 'c', '1', ')', 'N', 'C', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '(', 'N', 'C', '(', '=', 'O', ')', 'O', 'C', 'C', 'O', 'C', ')', 'C', '(', 'C', ')', 'C', ')', 'C', '(', 'C', ')', 'C'"
"'C', 'C', 'C', 'N', '1', 'C', 'C', 'N', '(', 'C', '[', 'C', '@@', 'H', ']', '(', 'O', ')', '[', 'C', '@', 'H', ']', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', 'N', 'C', '(', '=', 'O', ')', 'O', '[', 'C', '@@', 'H', ']', '2', 'C', 'C', 'S', '(', '=', 'O', ')', '(', '=', 'O', ')', '[', 'C', '@@', 'H', ']', '2', 'C', '(', 'C', ')', 'C', ')', '[', 'C', '@', 'H', ']', '(', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'C', '1'"
"'C', 'C', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', '[', 'C', '@', 'H', ']', '(', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', '[', 'C', '@', 'H', ']', '(', 'O', ')', 'C', 'N', '2', 'C', 'C', 'N', '(', 'C', '(', 'C', ')', 'C', ')', 'C', '[', 'C', '@', 'H', ']', '2', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'C', 'C', 'S', '1', '(', '=', 'O', ')', '=', 'O'"
"'C', 'C', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', '[', 'C', '@', 'H', ']', '(', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', '[', 'C', '@', 'H', ']', '(', 'O', ')', 'C', 'N', '2', 'C', 'C', 'N', '(', 'C', '3', 'C', 'C', 'C', 'C', 'C', '3', ')', 'C', '[', 'C', '@', 'H', ']', '2', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'C', 'C', 'S', '1', '(', '=', 'O', ')', '=', 'O'"
"'C', 'C', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', '[', 'C', '@', 'H', ']', '(', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', '[', 'C', '@', 'H', ']', '(', 'O', ')', 'C', 'N', '2', 'C', 'C', 'N', '(', 'C', '3', 'C', 'C', 'C', 'C', '3', ')', 'C', '[', 'C', '@', 'H', ']', '2', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'C', 'C', 'S', '1', '(', '=', 'O', ')', '=', 'O'"
"'C', 'C', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', '[', 'C', '@', 'H', ']', '(', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', '[', 'C', '@', 'H', ']', '(', 'O', ')', 'C', 'N', '2', 'C', 'C', 'N', '(', 'C', '3', 'C', 'C', 'C', '3', ')', 'C', '[', 'C', '@', 'H', ']', '2', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'C', 'C', 'S', '1', '(', '=', 'O', ')', '=', 'O'"
"'C', 'C', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', '[', 'C', '@', 'H', ']', '(', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', '[', 'C', '@', 'H', ']', '(', 'O', ')', 'C', 'N', '2', 'C', 'C', 'N', '(', 'C', '3', 'C', 'C', 'C', 'C', 'C', '3', ')', 'C', '[', 'C', '@', 'H', ']', '2', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'C', 'C', 'S', '1', '(', '=', 'O', ')', '=', 'O'"
"'C', 'C', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', '[', 'C', '@', 'H', ']', '(', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', '[', 'C', '@', 'H', ']', '(', 'O', ')', 'C', 'N', '2', 'C', 'C', 'N', '(', 'C', '3', 'C', 'C', 'C', 'C', '3', ')', 'C', '[', 'C', '@', 'H', ']', '2', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'C', 'C', 'S', '1', '(', '=', 'O', ')', '=', 'O'"
"'C', 'C', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', '[', 'C', '@', 'H', ']', '(', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', '[', 'C', '@', 'H', ']', '(', 'O', ')', 'C', 'N', '2', 'C', 'C', 'N', '(', 'C', '3', 'C', 'C', 'C', '3', ')', 'C', '[', 'C', '@', 'H', ']', '2', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'C', 'C', 'S', '1', '(', '=', 'O', ')', '=', 'O'"
"'C', 'C', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', '[', 'C', '@', 'H', ']', '(', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', '[', 'C', '@', 'H', ']', '(', 'O', ')', 'C', 'N', '2', 'C', 'C', 'N', '(', 'C', '3', 'C', 'C', '3', ')', 'C', '[', 'C', '@', 'H', ']', '2', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'C', 'C', 'S', '1', '(', '=', 'O', ')', '=', 'O'"
"'C', 'C', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', '[', 'C', '@', 'H', ']', '(', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', '[', 'C', '@', 'H', ']', '(', 'O', ')', 'C', 'N', '2', 'C', 'C', 'N', '(', 'C', '3', 'C', 'C', 'O', 'C', 'C', '3', ')', 'C', '[', 'C', '@', 'H', ']', '2', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'C', 'C', 'S', '1', '(', '=', 'O', ')', '=', 'O'"
"'C', 'C', '(', 'C', ')', '[', 'C', '@@', 'H', ']', '1', '[', 'C', '@', 'H', ']', '(', 'O', 'C', '(', '=', 'O', ')', 'N', '[', 'C', '@@', 'H', ']', '(', 'C', 'c', '2', 'c', 'c', 'c', 'c', 'c', '2', ')', '[', 'C', '@', 'H', ']', '(', 'O', ')', 'C', 'N', '2', 'C', 'C', 'N', '(', 'C', '3', 'C', 'C', 'S', 'C', 'C', '3', ')', 'C', '[', 'C', '@', 'H', ']', '2', 'C', '(', '=', 'O', ')', 'N', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'C', 'C', 'S', '1', '(', '=', 'O', ')', '=', 'O'"
