0,1,2,3
14,26,0,0
5,10,25,40
7,12,27,42
9,14,29,44
7,12,27,42
9,14,29,44
7,12,27,42
7,12,27,42
9,14,29,44
7,12,27,42
8,13,42,0
6,12,31,0
6,12,31,0
6,12,31,0
6,12,31,0
6,12,31,0
6,12,31,0
6,12,31,0
6,12,31,0
6,12,31,0
6,12,31,0
6,12,31,0
13,0,0,0
13,0,0,0
24,0,0,0
24,0,0,0
4,10,0,0
4,10,0,0
4,10,0,0
4,10,0,0
4,10,0,0
6,12,0,0
6,12,0,0
15,0,0,0
15,0,0,0
6,12,0,0
6,12,0,0
6,12,0,0
6,12,0,0
25,0,0,0
25,0,0,0
25,0,0,0
25,0,0,0
13,0,0,0
13,0,0,0
4,10,0,0
4,10,0,0
5,11,0,0
5,11,0,0
6,12,0,0
6,12,0,0
7,13,0,0
9,24,0,0
3,6,21,0
3,6,21,0
3,6,21,0
25,0,0,0
25,0,0,0
25,0,0,0
25,0,0,0
25,0,0,0
5,15,30,0
8,18,33,0
8,18,33,0
7,17,32,0
6,16,31,0
5,10,25,0
5,10,25,0
5,10,25,0
6,11,26,0
6,11,26,0
8,23,38,0
8,23,38,0
8,23,38,0
8,23,38,0
2,13,18,33
2,13,18,33
8,23,38,0
8,23,38,0
24,0,0,0
25,0,0,0
25,0,0,0
24,0,0,0
25,0,0,0
25,0,0,0
25,0,0,0
13,0,0,0
13,0,0,0
4,10,0,0
4,10,0,0
4,10,0,0
15,0,0,0
15,0,0,0
5,11,0,0
5,11,0,0
6,12,0,0
15,0,0,0
6,12,0,0
25,0,0,0
6,8,0,0
13,15,0,0
6,8,42,0
6,8,42,0
9,28,0,0
9,28,0,0
9,28,0,0
9,28,0,0
9,28,0,0
9,28,0,0
9,28,35,0
9,28,35,0
9,28,35,0
9,28,35,0
9,28,35,0
10,13,31,0
10,13,31,0
11,14,32,0
9,28,35,0
14,17,35,0
9,28,35,0
6,15,18,36
9,28,35,0
9,28,35,0
9,28,36,0
12,15,33,0
9,28,35,0
9,28,35,0
9,24,0,0
3,6,21,0
9,25,40,0
3,6,22,37
23,34,39,0
3,6,22,37
11,31,0,0
11,31,0,0
11,31,0,0
11,31,0,0
11,31,0,0
15,34,0,0
15,34,0,0
15,34,0,0
16,35,0,0
16,35,0,0
16,35,0,0
17,36,0,0
14,33,0,0
11,31,0,0
16,35,0,0
16,35,0,0
16,35,0,0
5,12,17,45
5,10,0,0
5,10,25,0
5,10,25,0
5,10,25,0
9,24,0,0
9,24,0,0
5,10,25,0
5,10,25,0
5,10,25,0
5,10,30,0
5,22,0,0
5,10,25,0
5,10,25,0
5,10,25,0
5,10,25,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,25,0,0
9,25,0,0
11,14,19,0
9,24,31,0
35,0,0,0
9,28,0,0
9,28,0,0
9,29,0,0
9,28,0,0
3,6,25,0
8,27,0,0
10,29,0,0
9,28,0,0
9,28,0,0
9,28,0,0
0,0,0,0
21,0,0,0
0,0,0,0
0,0,0,0
27,0,0,0
7,0,0,0
11,0,0,0
10,0,0,0
0,0,0,0
0,0,0,0
9,0,0,0
9,0,0,0
0,0,0,0
11,0,0,0
5,15,39,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
6,9,14,0
7,10,15,0
8,11,16,0
9,24,0,0
9,24,0,0
9,24,0,0
9,24,0,0
14,17,22,0
9,24,31,0
15,18,23,0
3,11,14,19
0,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
8,0,0,0
24,0,0,0
6,0,0,0
6,0,0,0
5,18,34,0
5,17,34,0
5,17,34,0
6,18,35,0
6,18,35,0
5,18,35,0
9,23,31,0
10,14,36,0
4,23,0,0
4,23,0,0
4,23,41,0
4,23,41,0
4,23,42,0
4,23,42,0
4,23,41,0
9,17,0,0
8,16,0,0
9,17,0,0
10,18,0,0
5,26,0,0
4,10,18,0
5,26,0,0
9,17,32,0
9,17,32,0
9,17,32,0
4,9,24,0
9,24,0,0
2,7,22,0
5,10,25,0
5,10,25,0
9,24,39,0
9,24,39,0
9,24,39,0
9,24,39,0
9,24,0,0
9,24,39,0
9,24,39,0
5,10,25,0
5,10,25,0
5,10,25,0
4,9,24,0
9,24,39,0
5,10,25,0
5,10,25,0
5,10,25,0
5,10,25,0
4,9,24,0
5,10,25,0
4,9,24,0
5,10,25,0
5,10,25,0
4,9,24,0
10,15,30,0
6,0,0,0
6,0,0,0
6,0,0,0
6,0,0,0
6,0,0,0
6,0,0,0
6,0,0,0
